Tid,coupon_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Label,Results
205.185.216.10-10.42.0.211-80-40656-6,coupon_138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,05-08-22,Kanyon,0,0
10.42.0.151-54.192.38.65-42794-443-6,coupon_317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12-12-21,Forum Istanbul,1,1
192.229.173.173-10.42.0.211-443-44788-6,coupon_127801,C266599,Male,20,Clothing,1,300.08,Cash,09-11-21,Metrocity,0,0
172.217.6.228-10.42.0.211-443-44763-6,coupon_173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16-05-21,Metropol AVM,0,0
172.217.12.170-10.42.0.151-443-60952-6,coupon_337046,C189076,Female,53,Books,4,60.6,Cash,24-10-21,Kanyon,0,0
10.42.0.211-64.71.142.124-51714-80-6,coupon_227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24-05-22,Forum Istanbul,0,0
172.217.12.170-10.42.0.42-443-42436-6,coupon_121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13-03-22,Istinye Park,0,0
172.217.7.227-10.42.0.211-80-43033-6,coupon_293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13-01-21,Mall of Istanbul,0,0
10.42.0.151-69.147.82.61-52923-443-6,coupon_293455,C159642,Male,69,Clothing,3,900.24,Credit Card,04-11-21,Metrocity,0,0
172.217.12.170-10.42.0.151-443-54246-6,coupon_326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22-08-21,Kanyon,0,0
10.42.0.211-104.193.88.109-33821-80-6,coupon_306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25-12-22,Metrocity,0,0
10.42.0.211-10.42.0.1-58632-53-17,coupon_139207,C191708,Female,29,Books,1,15.15,Credit Card,28-10-22,Emaar Square Mall,1,1
10.42.0.211-23.206.125.17-50438-80-6,coupon_640508,C225330,Female,67,Toys,4,143.36,Debit Card,31-07-22,Metrocity,1,1
10.42.0.211-77.234.41.79-59340-443-6,coupon_179802,C312861,Male,25,Clothing,2,600.16,Cash,17-11-22,Cevahir AVM,1,1
172.217.12.163-10.42.0.42-443-54058-6,coupon_336189,C555402,Female,67,Clothing,2,600.16,Credit Card,03-06-22,Kanyon,0,0
10.42.0.211-10.42.0.1-38685-53-17,coupon_688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,07-11-21,Viaport Outlet,0,0
219.142.78.217-10.42.0.42-80-51835-6,coupon_294687,C300786,Male,65,Books,2,30.3,Debit Card,16-01-21,Metrocity,1,1
183.3.235.80-10.42.0.151-80-53055-6,coupon_195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,05-01-22,Zorlu Center,1,1
10.42.0.42-54.239.17.112-51125-443-6,coupon_993048,C218149,Female,46,Clothing,2,600.16,Cash,26-07-21,Metropol AVM,1,1
182.22.24.124-10.42.0.211-443-41787-6,coupon_992454,C196845,Male,24,Toys,4,143.36,Cash,07-03-23,Cevahir AVM,0,0
10.42.0.151-10.42.0.1-23554-53-17,coupon_183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15-02-23,Emaar Square Mall,1,1
10.42.0.211-77.234.44.201-42898-80-6,coupon_412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,01-05-21,Cevahir AVM,0,0
162.208.22.39-10.42.0.211-443-45089-6,coupon_823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18-06-22,Cevahir AVM,0,0
216.58.219.206-10.42.0.211-443-53223-6,coupon_252275,C313348,Male,44,Technology,5,5250.0,Cash,26-10-21,Kanyon,1,1
10.42.0.211-77.234.44.201-57603-80-6,coupon_174250,C204553,Female,42,Books,5,75.75,Cash,16-12-22,Metrocity,1,1
172.217.11.10-10.42.0.151-443-36800-6,coupon_195396,C285161,Male,51,Toys,2,71.68,Debit Card,16-05-21,Istinye Park,1,1
10.42.0.211-64.71.142.110-41483-443-6,coupon_196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20-04-22,Mall of Istanbul,0,0
10.42.0.211-10.42.0.1-61314-53-17,coupon_217053,C192344,Male,50,Shoes,4,2400.68,Cash,10-10-22,Emaar Square Mall,1,1
10.42.0.151-10.42.0.1-50867-53-17,coupon_655874,C447138,Female,65,Shoes,3,1800.51,Cash,23-08-22,Cevahir AVM,0,0
203.205.191.23-10.42.0.42-80-60616-6,coupon_209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,29-04-21,Istinye Park,0,0
175.100.207.231-10.42.0.211-443-59336-6,coupon_161949,C159164,Female,66,Toys,3,107.52,Debit Card,04-07-22,Mall of Istanbul,1,1
10.42.0.211-111.1.17.152-34919-8077-6,coupon_331891,C501658,Male,23,Clothing,1,300.08,Credit Card,21-11-21,Emaar Square Mall,0,0
182.22.24.124-10.42.0.211-443-45676-6,coupon_768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,23-02-22,Kanyon,1,1
151.101.1.140-10.42.0.211-443-43649-6,coupon_109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,11-07-21,Metrocity,1,1
10.42.0.211-103.235.46.211-59228-443-6,coupon_167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,30-08-22,Zorlu Center,0,0
10.42.0.151-10.42.0.1-16479-53-17,coupon_339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,04-01-23,Emaar Square Mall,0,0
180.163.255.159-10.42.0.211-80-38935-6,coupon_147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,21-06-22,Kanyon,1,1
151.101.1.140-10.42.0.151-443-52519-6,coupon_187519,C450287,Female,59,Clothing,2,600.16,Credit Card,08-07-22,Metrocity,1,1
10.42.0.1-10.42.0.42-53-16600-17,coupon_106674,C204279,Male,54,Clothing,2,600.16,Cash,27-02-22,Kanyon,1,1
220.194.79.12-10.42.0.151-80-46389-6,coupon_473411,C452806,Male,24,Clothing,1,300.08,Cash,19-12-22,Metropol AVM,0,0
172.217.12.206-10.42.0.211-443-54341-6,coupon_246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,10-09-21,Zorlu Center,0,0
172.217.7.195-10.42.0.211-443-47731-6,coupon_138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,14-02-22,Metropol AVM,1,1
10.42.0.42-106.39.162.36-49602-80-6,coupon_752693,C306662,Female,48,Cosmetics,3,121.98,Cash,28-04-22,Metrocity,0,0
10.42.0.151-10.42.0.1-64636-53-17,coupon_826174,C607615,Female,40,Shoes,4,2400.68,Cash,20-06-22,Metrocity,0,0
10.42.0.211-123.59.190.237-40751-80-6,coupon_296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,21-04-22,Kanyon,0,0
10.42.0.211-31.13.80.52-51850-443-6,coupon_117291,C134449,Male,46,Books,5,75.75,Credit Card,09-12-22,Zorlu Center,0,0
174.35.73.148-10.42.0.211-80-49357-6,coupon_267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12-01-23,Mall of Istanbul,0,0
10.42.0.211-66.231.239.95-46116-443-6,coupon_205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,07-11-22,Zorlu Center,1,1
10.42.0.211-119.146.74.34-35053-80-6,coupon_269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,07-02-22,Zorlu Center,0,0
172.217.1.174-10.42.0.42-443-52963-6,coupon_304265,C653385,Female,22,Books,5,75.75,Debit Card,13-06-21,Forum Istanbul,0,0
172.217.10.238-10.42.0.151-443-57057-6,coupon_246562,C227070,Female,61,Cosmetics,5,203.3,Cash,23-08-21,Emaar Square Mall,1,1
175.100.207.231-10.42.0.151-443-45817-6,coupon_202367,C317478,Female,41,Books,3,45.45,Cash,24-02-23,Istinye Park,0,0
172.217.10.42-10.42.0.211-443-55697-6,coupon_664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12-01-23,Istinye Park,1,1
10.42.0.211-106.39.162.36-43643-80-6,coupon_160777,C626042,Female,43,Technology,4,4200.0,Cash,22-02-22,Metrocity,1,1
10.42.0.211-10.42.0.1-21786-53-17,coupon_137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,12-03-21,Viaport Outlet,0,0
175.100.207.206-10.42.0.211-80-35569-6,coupon_148377,C841663,Female,29,Clothing,1,300.08,Cash,02-01-22,Istinye Park,0,0
172.217.12.170-10.42.0.151-443-57331-6,coupon_258195,C213742,Male,43,Toys,2,71.68,Cash,26-11-21,Kanyon,1,1
10.42.0.211-10.42.0.1-1386-53-17,coupon_300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,21-04-21,Kanyon,1,1
10.42.0.211-14.29.93.243-53154-80-6,coupon_263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,23-06-21,Kanyon,0,0
192.229.163.180-10.42.0.211-443-51129-6,coupon_335713,C158837,Female,36,Books,4,60.6,Cash,14-12-21,Kanyon,0,0
10.42.0.211-10.42.0.1-1520-53-17,coupon_133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,09-06-22,Mall of Istanbul,0,0
10.42.0.211-104.192.110.245-38709-443-6,coupon_207205,C716161,Female,33,Clothing,1,300.08,Debit Card,26-11-21,Kanyon,1,1
10.42.0.211-10.42.0.1-33793-53-17,coupon_209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,05-02-21,Kanyon,1,1
172.217.12.170-10.42.0.211-443-38508-6,coupon_157285,C123427,Male,66,Clothing,4,1200.32,Cash,06-03-22,Mall of Istanbul,1,1
172.217.12.170-10.42.0.211-443-47464-6,coupon_218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,09-05-22,Metropol AVM,1,1
10.42.0.211-54.192.37.39-50896-443-6,coupon_181109,C119549,Male,22,Toys,3,107.52,Cash,17-10-22,Mall of Istanbul,1,1
175.100.207.231-10.42.0.211-80-55913-6,coupon_221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,22-01-22,Cevahir AVM,1,1
10.42.0.151-10.42.0.1-62491-53-17,coupon_204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,14-03-21,Istinye Park,1,1
